exporter,importer,year,trade,Y,E,pta,contiguity,common_language,lndist,international
Canada,Australia,2021,77279.51,501538854.87,261586379.46,1,0,1,14143,1
Chile,Australia,2021,91467.75,94676809.21,261586379.46,1,0,0,12726,1
India,Australia,2021,8185672.83,394813673.35,261586379.46,0,0,1,7809,1
Malaysia,Australia,2021,3037527.79,299230434.39,261586379.46,1,0,1,4743,1
New Zealand,Australia,2021,14052.70,44325287.82,261586379.46,1,0,1,4157,1
Singapore,Australia,2021,13038496.73,457473986.07,261586379.46,1,0,1,4374,1
Vietnam,Australia,2021,3493726.96,335792597.81,261586379.46,0,0,0,5170,1
Brunei,Australia,2021,942475.81,11058184.37,261586379.46,1,0,0,3899,1
Peru,Australia,2021,30161.71,56260115.20,261586379.46,0,0,0,12854,1
Japan,Australia,2021,36984138.41,757066261.25,261586379.46,1,0,0,6848,1
Mexico,Australia,2021,657323.71,494595503.44,261586379.46,1,0,0,14359,1
UK,Australia,2021,2226387.00,470547786.03,261586379.46,1,0,1,15205,1
Australia,Brunei,2021,1315825.95,342036103.27,8574738.53,1,0,1,3899,1
India,Brunei,2021,424230.46,394813673.35,8574738.53,1,0,0,4346,1
Japan,Brunei,2021,2112536.55,757066261.25,8574738.53,1,0,0,4262,1
Malaysia,Brunei,2021,849439.14,299230434.39,8574738.53,1,1,1,1416,1
New Zealand,Brunei,2021,75044.88,44325287.82,8574738.53,1,0,0,7906,1
Singapore,Brunei,2021,746378.50,457473986.07,8574738.53,0,0,0,1279,1
Brunei,Brunei,2021,2483445.85,11058184.37,8574738.53,0,0,1,0,0
Canada,Brunei,2021,5430.57,501538854.87,8574738.53,1,0,0,12299,1
Chile,Brunei,2021,469.31,94676809.21,8574738.53,1,0,0,16483,1
Mexico,Brunei,2021,2987.13,494595503.44,8574738.53,1,0,0,14893,1
Peru,Brunei,2021,0.98,56260115.20,8574738.53,0,0,0,18810,1
Vietnam,Brunei,2021,234843.38,335792597.81,8574738.53,0,0,0,1273,1
UK,Brunei,2021,58570.60,470547786.03,8574738.53,1,0,0,11304,1
Australia,Canada,2021,864257.68,342036103.27,491400949.55,1,0,1,14143,1
Canada,Canada,2021,10137905.33,501538854.87,491400949.55,0,0,1,0,0
Chile,Canada,2021,4540.37,94676809.21,491400949.55,1,0,0,10719,1
India,Canada,2021,841600.50,394813673.35,491400949.55,0,0,1,11462,1
Japan,Canada,2021,5301433.64,757066261.25,491400949.55,1,0,0,8078,1
Malaysia,Canada,2021,674628.83,299230434.39,491400949.55,1,0,1,12819,1
Mexico,Canada,2021,1670927.80,494595503.44,491400949.55,1,0,0,3604,1
New Zealand,Canada,2021,23886.09,44325287.82,491400949.55,1,0,1,13056,1
Peru,Canada,2021,1759379.09,56260115.20,491400949.55,0,0,0,7815,1
Singapore,Canada,2021,752404.48,457473986.07,491400949.55,1,0,1,13060,1
Vietnam,Canada,2021,4507995.95,335792597.81,491400949.55,0,0,0,11565,1
Brunei,Canada,2021,7554.19,11058184.37,491400949.55,1,0,0,13650,1
UK,Canada,2021,7192054.84,470547786.03,491400949.55,1,0,1,5586,1
Australia,Chile,2021,113105.04,342036103.27,92190957.18,1,0,0,12726,1
Canada,Chile,2021,464504.43,501538854.87,92190957.18,1,0,0,10719,1
Chile,Chile,2021,2485852.02,94676809.21,92190957.18,0,0,1,0,0
India,Chile,2021,87830.60,394813673.35,92190957.18,1,0,0,16681,1
Mexico,Chile,2021,72491.83,494595503.44,92190957.18,1,0,1,7353,1
New Zealand,Chile,2021,67715.30,44325287.82,92190957.18,1,0,0,9625,1
Peru,Chile,2021,392651.27,56260115.20,92190957.18,1,1,1,2964,1
Brunei,Chile,2021,1386.29,11058184.37,92190957.18,1,0,0,16483,1
Singapore,Chile,2021,104591.85,457473986.07,92190957.18,1,0,0,16174,1
Vietnam,Chile,2021,1334944.25,335792597.81,92190957.18,0,0,0,17600,1
Japan,Chile,2021,5897465.28,757066261.25,92190957.18,1,0,0,17332,1
Malaysia,Chile,2021,8813.63,299230434.39,92190957.18,1,0,0,18415,1
